Contrast,#term ID,term description,genes mapped,enrichment score,direction,false discovery rate,method,matching proteins in your input (IDs),matching proteins in your input (labels)
CU_AD,GO:0019835,Cytolysis,8,7.22544,top,0.0000541,afc,"9606.ENSP00000223642,9606.ENSP00000261267,9606.ENSP00000263408,9606.ENSP00000263413,9606.ENSP00000322061,9606.ENSP00000354458,9606.ENSP00000360281,9606.ENSP00000360697","C5,LYZ,C9,C6,C7,C8A,C8B,C8G"
CU_AD,GO:0098542,Defense response to other organism,73,2.75594,top,0.0000571,ks,"9606.ENSP00000216361,9606.ENSP00000216492,9606.ENSP00000217407,9606.ENSP00000223642,9606.ENSP00000232003,9606.ENSP00000245907,9606.ENSP00000249330,9606.ENSP00000253496,9606.ENSP00000261267,9606.ENSP00000262746,9606.ENSP00000263408,9606.ENSP00000263413,9606.ENSP00000265983,9606.ENSP00000266542,9606.ENSP00000278407,9606.ENSP00000278505,9606.ENSP00000284981,9606.ENSP00000286301,9606.ENSP00000292609,9606.ENSP00000293778,9606.ENSP00000296280,9606.ENSP00000299367,9606.ENSP00000301178,9606.ENSP00000302046,9606.ENSP00000306099,9606.ENSP00000308541,9606.ENSP00000313967,9606.ENSP00000314299,9606.ENSP00000315130,9606.ENSP00000317674,9606.ENSP00000322061,9606.ENSP00000327513,9606.ENSP00000342082,9606.ENSP00000348170,9606.ENSP00000350425,9606.ENSP00000354458,9606.ENSP00000356030,9606.ENSP00000356037,9606.ENSP00000356385,9606.ENSP00000356399,9606.ENSP00000356946,9606.ENSP00000360281,9606.ENSP00000360697,9606.ENSP00000361761,9606.ENSP00000362924,9606.ENSP00000363770,9606.ENSP00000363773,9606.ENSP00000372136,9606.ENSP00000378131,9606.ENSP00000381057,9606.ENSP00000383115,9606.ENSP00000385035,9606.ENSP00000385519,9606.ENSP00000385834,9606.ENSP00000396688,9606.ENSP00000416561,9606.ENSP00000418009,9606.ENSP00000426455,9606.ENSP00000431254,9606.ENSP00000436607,9606.ENSP00000438677,9606.ENSP00000440066,9606.ENSP00000444271,9606.ENSP00000452245,9606.ENSP00000455897,9606.ENSP00000468253,9606.ENSP00000478763,9606.ENSP00000479119,9606.ENSP00000479675,9606.ENSP00000480035,9606.ENSP00000493985,9606.ENSP00000497910,9606.ENSP00000498441","COCH,CHGA,LBP,C5,HRG,C3,VGF,F12,LYZ,PRDX1,C9,C6,HPX,C1RL,SERPING1,ENDOD1,APP,CSF1R,PGLYRP2,CXCL16,MASP1,C2,AXL,RNASE6,FGB,F2,C1QB,CFHR1,CLU,APOL1,C7,CSF1,SLPI,HP,APOA4,C8A,CD55,C4BPA,CFHR2,CFH,FCGR3A,C8B,C8G,WFDC2,GSN,C1QC,C1QA,DEFA1B,CFI,RNASE1,COLEC12,C1S,CD14,TF,C4A,CFB,RARRES2,RNASET2,IGLL5,ADM,PLD4,JCHAIN,C1R,RNASE4,MRC1,CFD,SIRPA,IGHV1-3,IGHV3-15,IGHV3-72,KNG1,B2M,FGA"
CU_AD,GO:0002253,Activation of immune response,37,3.95217,top,0.0000576,ks,"9606.ENSP00000223642,9606.ENSP00000230036,9606.ENSP00000245907,9606.ENSP00000263408,9606.ENSP00000263413,9606.ENSP00000266542,9606.ENSP00000278407,9606.ENSP00000284240,9606.ENSP00000296280,9606.ENSP00000296861,9606.ENSP00000299367,9606.ENSP00000313967,9606.ENSP00000314299,9606.ENSP00000315130,9606.ENSP00000322061,9606.ENSP00000339477,9606.ENSP00000354458,9606.ENSP00000356030,9606.ENSP00000356037,9606.ENSP00000356385,9606.ENSP00000356395,9606.ENSP00000356399,9606.ENSP00000360281,9606.ENSP00000360697,9606.ENSP00000363770,9606.ENSP00000363773,9606.ENSP00000366091,9606.ENSP00000378131,9606.ENSP00000385035,9606.ENSP00000396688,9606.ENSP00000416561,9606.ENSP00000431254,9606.ENSP00000444271,9606.ENSP00000468253,9606.ENSP00000479119,9606.ENSP00000479675,9606.ENSP00000480035","C5,GPLD1,C3,C9,C6,C1RL,SERPING1,THY1,MASP1,TNFRSF21,C2,C1QB,CFHR1,CLU,C7,ICOSLG,C8A,CD55,C4BPA,CFHR2,CFHR3,CFH,C8B,C8G,C1QC,C1QA,MOG,CFI,C1S,C4A,CFB,IGLL5,C1R,CFD,IGHV1-3,IGHV3-15,IGHV3-72"
CU_AD,GO:0006091,Generation of precursor metabolites and energy,13,3.5496,bottom,0.0000744,afc,"9606.ENSP00000200691,9606.ENSP00000229270,9606.ENSP00000249330,9606.ENSP00000305692,9606.ENSP00000320171,9606.ENSP00000321259,9606.ENSP00000362413,9606.ENSP00000370698,9606.ENSP00000378731,9606.ENSP00000437402,9606.ENSP00000445175,9606.ENSP00000495530,9606.ENSP00000496166","MT3,TPI1,VGF,GAA,PKM,TALDO1,PGK1,IL6ST,ALDOC,ENO2,LDHA,ENO1,ALDOA"
CU_AD,GO:0007411,Axon guidance,32,1.36973,bottom,0.00011,ks,"9606.ENSP00000231721,9606.ENSP00000256509,9606.ENSP00000261918,9606.ENSP00000264025,9606.ENSP00000281821,9606.ENSP00000284981,9606.ENSP00000286301,9606.ENSP00000305988,9606.ENSP00000307156,9606.ENSP00000309096,9606.ENSP00000324857,9606.ENSP00000330633,9606.ENSP00000341198,9606.ENSP00000344786,9606.ENSP00000352288,9606.ENSP00000356646,9606.ENSP00000357392,9606.ENSP00000358309,9606.ENSP00000359077,9606.ENSP00000368314,9606.ENSP00000380602,9606.ENSP00000385142,9606.ENSP00000392423,9606.ENSP00000394720,9606.ENSP00000400365,9606.ENSP00000420321,9606.ENSP00000442600,9606.ENSP00000447006,9606.ENSP00000480132,9606.ENSP00000480680,9606.ENSP00000484928,9606.ENSP00000489551","SEMA3G,CHL1,SEMA7A,NECTIN1,EPHA4,APP,CSF1R,ALCAM,LAMB2,B4GAT1,SEMA6D,CNTN2,NEO1,NFASC,PLXNB2,TNR,EFNA1,EPHA7,L1CAM,NRCAM,CNTN4,NRXN1,RELN,SEMA4B,LAMA2,ROBO1,DAG1,CNTN1,NCAM1,SEMA3B,CDH4,NRXN3"
CU_AD,GO:0016064,Immunoglobulin mediated immune response,26,4.39032,top,0.00011,ks,"9606.ENSP00000223642,9606.ENSP00000245907,9606.ENSP00000263408,9606.ENSP00000263413,9606.ENSP00000266542,9606.ENSP00000278407,9606.ENSP00000299367,9606.ENSP00000313967,9606.ENSP00000315130,9606.ENSP00000322061,9606.ENSP00000354458,9606.ENSP00000356030,9606.ENSP00000356037,9606.ENSP00000356946,9606.ENSP00000360281,9606.ENSP00000360697,9606.ENSP00000363770,9606.ENSP00000363773,9606.ENSP00000378131,9606.ENSP00000385035,9606.ENSP00000396688,9606.ENSP00000431254,9606.ENSP00000444271,9606.ENSP00000479119,9606.ENSP00000479675,9606.ENSP00000480035","C5,C3,C9,C6,C1RL,SERPING1,C2,C1QB,CLU,C7,C8A,CD55,C4BPA,FCGR3A,C8B,C8G,C1QC,C1QA,CFI,C1S,C4A,IGLL5,C1R,IGHV1-3,IGHV3-15,IGHV3-72"
CU_AD,GO:0002250,Adaptive immune response,39,3.47619,top,0.00012,ks,"9606.ENSP00000220166,9606.ENSP00000223642,9606.ENSP00000227266,9606.ENSP00000245907,9606.ENSP00000263408,9606.ENSP00000263413,9606.ENSP00000266542,9606.ENSP00000278407,9606.ENSP00000296861,9606.ENSP00000299367,9606.ENSP00000305988,9606.ENSP00000306099,9606.ENSP00000313967,9606.ENSP00000315130,9606.ENSP00000322061,9606.ENSP00000339477,9606.ENSP00000345344,9606.ENSP00000354458,9606.ENSP00000356030,9606.ENSP00000356037,9606.ENSP00000356946,9606.ENSP00000357981,9606.ENSP00000360281,9606.ENSP00000360697,9606.ENSP00000363770,9606.ENSP00000363773,9606.ENSP00000378131,9606.ENSP00000385035,9606.ENSP00000396688,9606.ENSP00000431254,9606.ENSP00000440066,9606.ENSP00000444271,9606.ENSP00000452662,9606.ENSP00000479119,9606.ENSP00000479675,9606.ENSP00000480035,9606.ENSP00000483567,9606.ENSP00000497910,9606.ENSP00000498441","CTSH,C5,CTSC,C3,C9,C6,C1RL,SERPING1,TNFRSF21,C2,ALCAM,FGB,C1QB,CLU,C7,ICOSLG,CTSL,C8A,CD55,C4BPA,FCGR3A,CTSS,C8B,C8G,C1QC,C1QA,CFI,C1S,C4A,IGLL5,JCHAIN,C1R,IGKV2D-28,IGHV1-3,IGHV3-15,IGHV3-72,IGKV2D-29,B2M,FGA"
CU_AD,GO:0051917,Regulation of fibrinolysis,9,6.47024,top,0.00012,afc,"9606.ENSP00000181383,9606.ENSP00000205948,9606.ENSP00000226218,9606.ENSP00000232003,9606.ENSP00000253496,9606.ENSP00000264690,9606.ENSP00000308541,9606.ENSP00000308938,9606.ENSP00000321853","CPB2,APOH,VTN,HRG,F12,KLKB1,F2,PLG,SERPINF2"
CU_AD,GO:0006955,Immune response,90,2.28036,top,0.00014,ks,"9606.ENSP00000053867,9606.ENSP00000212355,9606.ENSP00000215909,9606.ENSP00000216492,9606.ENSP00000217407,9606.ENSP00000220166,9606.ENSP00000223642,9606.ENSP00000226218,9606.ENSP00000227266,9606.ENSP00000232003,9606.ENSP00000243077,9606.ENSP00000245907,9606.ENSP00000253496,9606.ENSP00000259486,9606.ENSP00000261267,9606.ENSP00000261918,9606.ENSP00000262746,9606.ENSP00000263408,9606.ENSP00000263413,9606.ENSP00000264025,9606.ENSP00000265983,9606.ENSP00000266542,9606.ENSP00000278407,9606.ENSP00000278505,9606.ENSP00000284981,9606.ENSP00000286301,9606.ENSP00000292609,9606.ENSP00000293778,9606.ENSP00000296280,9606.ENSP00000296861,9606.ENSP00000299367,9606.ENSP00000301178,9606.ENSP00000302046,9606.ENSP00000305988,9606.ENSP00000306099,9606.ENSP00000308541,9606.ENSP00000313967,9606.ENSP00000314299,9606.ENSP00000315130,9606.ENSP00000317674,9606.ENSP00000322061,9606.ENSP00000323929,9606.ENSP00000327513,9606.ENSP00000339477,9606.ENSP00000342082,9606.ENSP00000345344,9606.ENSP00000350425,9606.ENSP00000354458,9606.ENSP00000356030,9606.ENSP00000356037,9606.ENSP00000356385,9606.ENSP00000356395,9606.ENSP00000356399,9606.ENSP00000356946,9606.ENSP00000357981,9606.ENSP00000360281,9606.ENSP00000360687,9606.ENSP00000360697,9606.ENSP00000361761,9606.ENSP00000362924,9606.ENSP00000363770,9606.ENSP00000363773,9606.ENSP00000372136,9606.ENSP00000378131,9606.ENSP00000381581,9606.ENSP00000383115,9606.ENSP00000385035,9606.ENSP00000385519,9606.ENSP00000385834,9606.ENSP00000396688,9606.ENSP00000399679,9606.ENSP00000416561,9606.ENSP00000418009,9606.ENSP00000426455,9606.ENSP00000431254,9606.ENSP00000436607,9606.ENSP00000438677,9606.ENSP00000440066,9606.ENSP00000444271,9606.ENSP00000452662,9606.ENSP00000455897,9606.ENSP00000468253,9606.ENSP00000478763,9606.ENSP00000479119,9606.ENSP00000479675,9606.ENSP00000480035,9606.ENSP00000483567,9606.ENSP00000493985,9606.ENSP00000497910,9606.ENSP00000498441","GRN,TGFBR3,LGALS1,CHGA,LBP,CTSH,C5,VTN,CTSC,HRG,LRP1,C3,F12,ENPP2,LYZ,SEMA7A,PRDX1,C9,C6,NECTIN1,HPX,C1RL,SERPING1,ENDOD1,APP,CSF1R,PGLYRP2,CXCL16,MASP1,TNFRSF21,C2,AXL,RNASE6,ALCAM,FGB,F2,C1QB,CFHR1,CLU,APOL1,C7,A2M,CSF1,ICOSLG,SLPI,CTSL,APOA4,C8A,CD55,C4BPA,CFHR2,CFHR3,CFH,FCGR3A,CTSS,C8B,PTGDS,C8G,WFDC2,GSN,C1QC,C1QA,DEFA1B,CFI,LCP1,COLEC12,C1S,CD14,TF,C4A,PRG4,CFB,RARRES2,RNASET2,IGLL5,ADM,PLD4,JCHAIN,C1R,IGKV2D-28,MRC1,CFD,SIRPA,IGHV1-3,IGHV3-15,IGHV3-72,IGKV2D-29,KNG1,B2M,FGA"
CU_AD,GO:0000904,Cell morphogenesis involved in differentiation,52,1.07984,bottom,0.00015,ks,"9606.ENSP00000043402,9606.ENSP00000221891,9606.ENSP00000222399,9606.ENSP00000231721,9606.ENSP00000256509,9606.ENSP00000258341,9606.ENSP00000261918,9606.ENSP00000262919,9606.ENSP00000264025,9606.ENSP00000270142,9606.ENSP00000271332,9606.ENSP00000281821,9606.ENSP00000284981,9606.ENSP00000286301,9606.ENSP00000301178,9606.ENSP00000301244,9606.ENSP00000305988,9606.ENSP00000307156,9606.ENSP00000307549,9606.ENSP00000309096,9606.ENSP00000324857,9606.ENSP00000330633,9606.ENSP00000341170,9606.ENSP00000341198,9606.ENSP00000344786,9606.ENSP00000346839,9606.ENSP00000352288,9606.ENSP00000352798,9606.ENSP00000356646,9606.ENSP00000357392,9606.ENSP00000358309,9606.ENSP00000359077,9606.ENSP00000363040,9606.ENSP00000366288,9606.ENSP00000368314,9606.ENSP00000377047,9606.ENSP00000380602,9606.ENSP00000385142,9606.ENSP00000392423,9606.ENSP00000394720,9606.ENSP00000400365,9606.ENSP00000410294,9606.ENSP00000420321,9606.ENSP00000442600,9606.ENSP00000447006,9606.ENSP00000455114,9606.ENSP00000480132,9606.ENSP00000480680,9606.ENSP00000484928,9606.ENSP00000489551,9606.ENSP00000494750,9606.ENSP00000497691","RTN4R,APLP1,LAMB1,SEMA3G,CHL1,LAMC1,SEMA7A,ATRN,NECTIN1,SOD1,CELSR2,EPHA4,APP,CSF1R,AXL,SPINT2,ALCAM,LAMB2,NPTX1,B4GAT1,SEMA6D,CNTN2,PTN,NEO1,NFASC,FN1,PLXNB2,COL18A1,TNR,EFNA1,EPHA7,L1CAM,MEGF9,SLITRK1,NRCAM,PTPRZ1,CNTN4,NRXN1,RELN,SEMA4B,LAMA2,FGFR2,ROBO1,DAG1,CNTN1,HEXA,NCAM1,SEMA3B,CDH4,NRXN3,ACTB,APLP2"
CU_AD,GO:0019752,Carboxylic acid metabolic process,20,2.57952,bottom,0.00018,afc,"9606.ENSP00000222381,9606.ENSP00000229270,9606.ENSP00000245907,9606.ENSP00000284031,9606.ENSP00000306100,9606.ENSP00000320171,9606.ENSP00000340278,9606.ENSP00000359539,9606.ENSP00000360687,9606.ENSP00000362413,9606.ENSP00000371152,9606.ENSP00000378731,9606.ENSP00000381607,9606.ENSP00000407685,9606.ENSP00000437402,9606.ENSP00000445175,9606.ENSP00000486361,9606.ENSP00000495530,9606.ENSP00000496166,9606.ENSP00000500193","PON1,TPI1,C3,DDAH1,PAM,PKM,PARK7,GOT1,PTGDS,PGK1,ASAH1,ALDOC,GSTP1,TNXB,ENO2,LDHA,DBI,ENO1,ALDOA,BTD"
CU_AD,GO:0002460,Adaptive immune response based on somatic recombination of immune receptors built from immunoglobulin superfamily domains,29,4.24376,top,0.00019,ks,"9606.ENSP00000220166,9606.ENSP00000223642,9606.ENSP00000227266,9606.ENSP00000245907,9606.ENSP00000263408,9606.ENSP00000263413,9606.ENSP00000266542,9606.ENSP00000278407,9606.ENSP00000299367,9606.ENSP00000313967,9606.ENSP00000315130,9606.ENSP00000322061,9606.ENSP00000354458,9606.ENSP00000356030,9606.ENSP00000356037,9606.ENSP00000356946,9606.ENSP00000360281,9606.ENSP00000360697,9606.ENSP00000363770,9606.ENSP00000363773,9606.ENSP00000378131,9606.ENSP00000385035,9606.ENSP00000396688,9606.ENSP00000431254,9606.ENSP00000444271,9606.ENSP00000479119,9606.ENSP00000479675,9606.ENSP00000480035,9606.ENSP00000497910","CTSH,C5,CTSC,C3,C9,C6,C1RL,SERPING1,C2,C1QB,CLU,C7,C8A,CD55,C4BPA,FCGR3A,C8B,C8G,C1QC,C1QA,CFI,C1S,C4A,IGLL5,C1R,IGHV1-3,IGHV3-15,IGHV3-72,B2M"
CU_AD,GO:0006952,Defense response,110,2.07733,top,0.00029,ks,"9606.ENSP00000053867,9606.ENSP00000216361,9606.ENSP00000216492,9606.ENSP00000217407,9606.ENSP00000218388,9606.ENSP00000223642,9606.ENSP00000232003,9606.ENSP00000243077,9606.ENSP00000245907,9606.ENSP00000249330,9606.ENSP00000253496,9606.ENSP00000255409,9606.ENSP00000259396,9606.ENSP00000261267,9606.ENSP00000261918,9606.ENSP00000262746,9606.ENSP00000262776,9606.ENSP00000262919,9606.ENSP00000263408,9606.ENSP00000263413,9606.ENSP00000264690,9606.ENSP00000265983,9606.ENSP00000266041,9606.ENSP00000266542,9606.ENSP00000269593,9606.ENSP00000273784,9606.ENSP00000278222,9606.ENSP00000278407,9606.ENSP00000278505,9606.ENSP00000284981,9606.ENSP00000286301,9606.ENSP00000292609,9606.ENSP00000293778,9606.ENSP00000294728,9606.ENSP00000296280,9606.ENSP00000298223,9606.ENSP00000299367,9606.ENSP00000301178,9606.ENSP00000301522,9606.ENSP00000302046,9606.ENSP00000304133,9606.ENSP00000306099,9606.ENSP00000308541,9606.ENSP00000313967,9606.ENSP00000314299,9606.ENSP00000315130,9606.ENSP00000317674,9606.ENSP00000321853,9606.ENSP00000322061,9606.ENSP00000323929,9606.ENSP00000327513,9606.ENSP00000339477,9606.ENSP00000340278,9606.ENSP00000341170,9606.ENSP00000342082,9606.ENSP00000346839,9606.ENSP00000348170,9606.ENSP00000350425,9606.ENSP00000352071,9606.ENSP00000354458,9606.ENSP00000356030,9606.ENSP00000356037,9606.ENSP00000356385,9606.ENSP00000356399,9606.ENSP00000356946,9606.ENSP00000356969,9606.ENSP00000358045,9606.ENSP00000360281,9606.ENSP00000360697,9606.ENSP00000361761,9606.ENSP00000362924,9606.ENSP00000363770,9606.ENSP00000363773,9606.ENSP00000363827,9606.ENSP00000369055,9606.ENSP00000372136,9606.ENSP00000377055,9606.ENSP00000378131,9606.ENSP00000378517,9606.ENSP00000381057,9606.ENSP00000381448,9606.ENSP00000383115,9606.ENSP00000385035,9606.ENSP00000385519,9606.ENSP00000385834,9606.ENSP00000387050,9606.ENSP00000394936,9606.ENSP00000396688,9606.ENSP00000398632,9606.ENSP00000400894,9606.ENSP00000416066,9606.ENSP00000416561,9606.ENSP00000418009,9606.ENSP00000426455,9606.ENSP00000431254,9606.ENSP00000436607,9606.ENSP00000438677,9606.ENSP00000440066,9606.ENSP00000444271,9606.ENSP00000450540,9606.ENSP00000452245,9606.ENSP00000455897,9606.ENSP00000468253,9606.ENSP00000478763,9606.ENSP00000479119,9606.ENSP00000479675,9606.ENSP00000480035,9606.ENSP00000493985,9606.ENSP00000497910,9606.ENSP00000498441","GRN,COCH,CHGA,LBP,TIMP1,C5,HRG,LRP1,C3,VGF,F12,CHI3L1,ORM1,LYZ,SEMA7A,PRDX1,LGALS3BP,ATRN,C9,C6,KLKB1,HPX,ITIH4,C1RL,IGFBP4,AHSG,SAA4,SERPING1,ENDOD1,APP,CSF1R,PGLYRP2,CXCL16,VCAM1,MASP1,FOLR2,C2,AXL,PRDX2,RNASE6,SCG2,FGB,F2,C1QB,CFHR1,CLU,APOL1,SERPINF2,C7,A2M,CSF1,ICOSLG,PARK7,PTN,SLPI,FN1,HP,APOA4,CD163,C8A,CD55,C4BPA,CFHR2,CFH,FCGR3A,APOA2,ECM1,C8B,C8G,WFDC2,GSN,C1QC,C1QA,HSPG2,B4GALT1,DEFA1B,PRCP,CFI,SPP1,RNASE1,CST3,COLEC12,C1S,CD14,TF,PLD3,ORM2,C4A,CD44,PENK,SERPINA1,CFB,RARRES2,RNASET2,IGLL5,ADM,PLD4,JCHAIN,C1R,SERPINA3,RNASE4,MRC1,CFD,SIRPA,IGHV1-3,IGHV3-15,IGHV3-72,KNG1,B2M,FGA"
CU_AD,GO:0016052,Carbohydrate catabolic process,13,3.20299,bottom,0.00031,afc,"9606.ENSP00000229270,9606.ENSP00000305692,9606.ENSP00000320171,9606.ENSP00000349687,9606.ENSP00000359664,9606.ENSP00000362413,9606.ENSP00000378731,9606.ENSP00000388823,9606.ENSP00000437402,9606.ENSP00000445175,9606.ENSP00000495247,9606.ENSP00000495530,9606.ENSP00000496166","TPI1,GAA,PKM,GM2A,CTBS,PGK1,ALDOC,NSG1,ENO2,LDHA,MANBA,ENO1,ALDOA"
